star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Weights and Measures,4,Unit Conversion,"• Work with the International System of Units to convert from one unit to another.","2 metersticks, 2 rulers, measurement 4 worksheets, liter volume cube, 1 set of centimeter cubes",N/A,N/A,,,
Weights and Measures,5,"Capacity, Volume, and Mass","• Use metric measurement to measure capacity, volume, and mass.
• Practice conversion using the place value chart.
• Place three-dimensional objects in volume order from least to greatest.","Electric scale, set of geometric shapes, rice, funnel, set of centimeters cubes, ruler, liter volume cube, pipette, 10-ml graduated cylinder, pitcher of colored water, liter bottle, 30-ml graduated beaker, cake pan, paper towels, safety glasses, measurement 5 worksheet","• Students will need access to water and 1-pitcher of colored water.",N/A,,,
Weights and Measures,6,Converting Celsius and Fahrenheit,"• Use a thermometer to convert Celsius temperatures to Fahrenheit and Fahrenheit temperatures to Celsius.
• Apply formulas to convert Celsius temperatures to Fahrenheit and Fahrenheit temperatures to Celsius.","Demonstration thermometer, calculator, measurements 6 worksheet",N/A,"1. Demonstrate how to use the formula F = 1.8C + 32.
2. Demonstrate how to use the formula C = 5/9 (F – 32).
3. Show how to convert Celsius to Fahrenheit using the Demonstration Thermometer.
4. Name the person responsible for developing the mercury thermometer.",,,
Weights and Measures,7,Dimensional Analysis,"• Be introduced to the process of dimensional analysis to make unit conversions.
• Define a unit conversion factor.
• Write ratios of equal quantities.
• Review the rule for multiplying by 1.
• Use a conversion factor to convert the units.",None,N/A,N/A,,,
Where in the World,1,Radical Expressions & Pythagorean Theorem,"• Learn about radical expressions.
• Learn the difference between radical and exponential expressions.
• Identify radical expressions.
• Prove the Pythagorean Theorem.","""""Proving the Pythagorean Theorem"""" worksheet, meter stick, tape Measure, masking tape, clamp-on lamp",N/A,N/A,,,
Where in the World,2,Product Property of Square Roots,"• Learn to simplify radical expressions using the Product Property of Square Roots.
• Convert radical expressions to decimals.
• Use the Pythagorean Theorem to find a sunken treasure.","The World map, """"Sunken Treasure"""" worksheet, calculator, ruler, fine-point wet erase marker, paper towels",N/A,"1. Define, provide examples of, and explain the relationship between radical expressions and exponential expressions.
2. Simplify the radical expression √28 using the Product Property of Square Roots.
3. Simplify the radical expression √28 to a decimal using a calculator.
4. Complete the ""Sunken Treasure"" worksheet and correctly identify the location of the treasure.",,,
Where in the World,3,Quotient Property of Square Roots & Distance Formula,"• Simplify radical expressions using the Quotient Property of Square Roots.
• Learn about the Distance Formula.
• Determine how the Distance Formula can be used in finding distances between cities.",None,N/A,N/A,,,
Where in the World,4,Add & Subtract Radical Expressions,"• Learn to add and subtract radical expressions.
• Utilize the Distance Formula in finding the distance between cities.","""""Delivery Distance"""" worksheet, calculator",N/A,"1. Explain why it is necessary to rationalize the denominator and demonstrate the ability to do so using the expression √14/√21.
2. Exhibit the ability to add and subtract rational expressions by completing the following example: 2√20 + 3√45 – √180.
3. Write the Distance Formula and explain how it relates to the Pythagorean Theorem.
4. Use the ""Delivery Distance"" worksheet and the ""Radical Midwest Tour"" worksheet to explain the steps in converting a radical expression to a decimal and a decimal to a radical expression.",,,
Where in the World,5,Simplifying Radical Expressions,"• Continue simplifying radical expressions.
• Continue adding and subtracting radical expressions.
• Utilize the Distance Formula in planning a trip around the world.","Calculator, globe, The World Map, """"World Travels"""" worksheet",N/A,N/A,,,
Where in the World,6,Distance to the Horizon,"• Determine the distance to the horizon using radical expressions.
• Design a zip line course.","Tape measure, meter stick, calculator",N/A,N/A,,,
Where in the World,7,Map Projections,"• Learn about map projections and relate them to math.
• Define trilateration and explain why it improves accuracy in determining points according to distance.
• Define geocaching and participate in a mock geocaching activity.","The World map, globe","• The """"Clues for Cache"""" worksheet is four pages (two pages, each printed front and back). It might be best for these pages to be stapled together before passing them out to the students.","1. Name two kinds of map projections and explain how they differ geographically and mathematically.
2. Define trilateration and relate it to relative location.
3. Briefly describe and give an example of absolute and relative locations and how they relate to math.
4. Determine the location of the geocache and give three ways the location could be described mathematically.",,,
Organism Reproduction v1.1,1,Bacteria & Virus Reproduction,"• Examine how bacteria reproduce.
• Use a microscope to examine and observe a bacteria slide.
• Write a summary report concluding your observations.
• Examine how viruses reproduce.","Bacillus Anthracis Slide, Microscope, Lens Paper, Bacillus Anthracis Worksheet, Pencil, Organism Reproduction Student Module Notebook",N/A,N/A,,,
Organism Reproduction v1.1,2,Mitosis,"• Examine the reproductive habits of fungi and protists.
• Investigate the mitosis process.
• Create a model of the four phases of mitosis.
• Learn that chromosomes are structures that carry genes.","Stage 1-Prophase Model, Stage 2-Metaphase Model, Stage 3-Anaphase Model, Stage 4-Telophase Model, Box of Red and Yellow Pop Beads and Centromeres",N/A,"1. Using the mitosis models, briefly show what happens during each stage of mitosis, and explain how the two resulting daughter cells compare to the original mother cell.
2. Describe similarities and differences between asexual and sexual reproduction.
3. Compare the process of cell division in prokaryotic and eukaryotic cells.
4. Explain the purpose of mitosis.",,,
Organism Reproduction v1.1,3,Meiosis,"• Identify the reproductive parts of a flower.
• Learn how plants reproduce by pollination.
• Examine how insects and other animals serve as pollinators for plants.
• Examine the steps involved in meiosis and the significance of each step.
• Create a model of the meiosis phases.","20 Long Blue Pipe Cleaners, 20 Long Red Pipe Cleaners, 20 Short Blue Pipe Cleaners, 20 Short Red Pipe Cleaners, 30 Blue Beads, 30 Red Beads, Meiosis I and Meiosis II Diagrams",N/A,"1. Describe the reproductive process of a plant.
2. Define stamen, anther, pollen, pistil, ovules, and stigma.
3. Give examples of how insects and other animals serve as pollinators for plants.
4. List some advantages of cross-pollination.",,,
Organism Reproduction v1.1,4,Invertebrate Reproduction,"• Investigate the reproductive practices of invertebrates.
• Use a microscope to examine starfish reproductive cells.","Microscope, Lens Paper, Starfish Sperm Slide, Starfish Ovary Slide, Starfish Ova Unfertilized Slide, Starfish Testis Slide, Starfish Young Slide",N/A,N/A,,,
Organism Reproduction v1.1,5,Amphibian & Reptile Reproduction,"• Examine the reproductive habits of fish, amphibians, and reptiles.
• Use a microscope to examine frog reproductive cells.","Microscope, Lens Paper, Frog Unsegmented Egg Slide, Frog Ovary Slide, Frog Testis Slide, Frog 7mm Embryo Slide, Frog 10 Larva Slide",N/A,N/A,,,
Organism Reproduction v1.1,6,Gamete Reproduction,"• Examine the reproductive habits of birds.
• Examine the process of gamete production in human males and females.
• Investigate the human male and female reproductive organs and identify their functions.
• Write a summary report on the reproductive habits of different organisms.",Organism Reproduction Student Module Notebook,N/A,N/A,,,
Organism Reproduction v1.1,7,Mutations,"• Explore how mutations can be both harmful and helpful.
• Research examples of selective breeding.
• Discuss the positive and negative effects of such breeding programs.
• Infer how selective breeding and crop monoculture have both good and bad results.",Organism Reproduction Student Module Notebook,N/A,"1. Explain what a mutation is and the two methods by which mutations occur.
2. Describe what occurs during the selective breeding process.
3. List some advantages and disadvantages of using selective breeding practices.
4. Discuss ethical issues surrounding the use of genetic engineering.",,,
Body Systems,1,Body System Overview: Anatomical Position,"• Learn the different levels of organization that make you a functioning organism.
• Define the function of each system.
• Define the anatomical position.",Human torso model,Place the human torso at the workstation for students. Students will be given the definitions for each body system and will take notes on the lesson.,N/A,,,
Body Systems,2,Digestion,"• Explore the anatomy of the human digestive system.
• Define the function of various parts of the digestive system.
• Discover how nutrients are absorbed.
• Complete the digestion activity.","Human torso model, masking tape, model activity sheet",N/A,"1. Explore the anatomy of the digestive system.
2. Define the functions of various parts of the digestive system.
3. Discover how nutrients are absorbed.
4. Complete the digestions activity.",,,
Body Systems,3,Circulatory and Lymph; Pulse Rate Activity,"• Investigate the structure and function of the circulatory and lymphatic systems.
• Complete the Pulse Rate Activity.",Pulse Rate Activity worksheet; stopwatch; aerobic step; pen or pencil,Ensure the materials manager has placed the Pulse Rate activity worksheets at the workstations prior to the beginning of the day's session.,N/A,,,
Body Systems,4,Respiration and Skin; Gas Exchange Activity,"• Identify the main structures of the nervous system.
• Recognize how the nervous system functions as the main communication system in your body.","2 pair of safety glasses, 2 pair vinyl gloves, test-tube rack, Sharpie marker, stopwatch, dropper bottle of ammonia, bottle of prepared BTB indicator solution, pipette pump, two 10 mL pipettes, pencil, scratch paper, paper towels","Before beginning the lesson, place all chemicals and supplies where they cannot be easily knocked over. Ensure all workstations have safety glasses and gloves and that students put them on before beginning the lesson.","1. List and define the functions of the 8 structures and organs of the respiratory system.
2. Complete the gas exchange activity and explain your results.
3. Define the makeup of the integumentary system.
4. Explain the main function of the integumentary system.",,,
Body Systems,5,Nervous and Endocrine Systems; Reflex Activity,"• Explore the structure and function of the 11 body systems.
• Understand that homeostasis is the maintenance (balance) of all body systems.","Drinking straw, pipe cleaners",N/A,N/A,,,
Body Systems,6,Movement; Skeleton and Muscles; Bones,"• Understand that homeostasis is the maintenance (balance) of all body systems.
• Explore the structure and function of the 11 body systems.","Mini-skeleton, knee joint model, ball of clay, waxed paper, 40 straws, cutting board",Set up the mini-skeleton and knee joint models at the workstations prior to the students beginning the lesson.,"1. Identify the location and function of the three muscle types.
2. Explain how muscles and bones work together to move the body.
3. Identify examples of each of the four types of bones and explain the general function of each type.
4. Locate, name, and demonstrate the movement of three movable joints and one immovable joint.",,,
Body Systems,7,Reproduction and Excretion; Homeostasis,"• Identify the major organs of the male and female reproductive systems.
• Explain the function of the reproductive system.
• Describe the form and function of the excretory system.
• Students will describe how the kidneys affect the body's homeostasis.
• Students will review all eleven body systems.","Human Torso model, mini skeleton, Body Systems Review worksheet, student module notebook",Ensure that the models are set up at the workstations and there are worksheets for each student.,N/A,,,
Immunology,1,Personal Immune Health Assessment; Terminology,"• Complete a personal immune system health assessment.
• Identify the structures associated with the immune system.
• Use an app to explore terminology related to the immune system.
• Identify the types of blood cells that are a part of the immune system.","Mobile device with human body anatomy app, Personal Immune Health Plan worksheet",N/A,N/A,,,
Immunology,2,Antigen-Antibody; Vaccines,"• Distinguish between antibodies and antigens.
• Explain how the body's different immune responses work.
• Explore the concept of community immunity.
• Model how community immunity prevents the spread of diseases.",None,N/A,N/A,,,
Immunology,3,Microscope Use; White Blood Cells,"• Identify different types of microscopes.
• Explain how the microscope has helped advance the field of medicine.
• Learn the proper way to use and care for a microscope.
• Learn how to take a micrograph using a microscope.","Light meter, solar light apparatus, aluminum foil, ruler, 5 packages of colored pages, 2 Radiation and Albedo worksheets",N/A,"1. Identify the following parts on the microscope: camera, inclined head, arm, base, eyepiece lens, revolving nosepiece, objective lenses, stage, spring clips, illuminator, rheostat, coarse adjustment, and fine adjustment.
2. Demonstrate the ability to locate and focus on a specific object and take a micrograph.
3. Identify a white blood cell in a micrograph that you have taken.
4. Explain how the microscope has helped advance the field of medicine.",,,
Immunology,4,Bacteria; Micrographing,"• Identify bacteria based on shape, grouping and staining.
• Classify bacteria from micrographs.
• Take micrographs of different types of bacteria using the microscope.",None,N/A,N/A,,,
Immunology,5,Viruses and Viral Structure,"• Compare sizes of human cells, bacterial cells, and viruses.
• Distinguish between lytic and lysogenic viruses.
• Research the prevention and treatment of a viral disease.
• Label the different structures in a micrograph of an influenza virus.","Compound digital microscope, lens paper, immunology slide set",N/A,N/A,,,
Immunology,6,Pathogen Comparison; Fungi and Protists,"• Explore how protists and fungi can be pathogenic.
• Identify methods of prevention and treatment of protist and fungal diseases.
• Use the Applied Vision software to identify and micrograph a pathogenic protist and a fungus.","Microscope, lens paper, immunology slide set",N/A,N/A,,,
Immunology,7,UV Assessment; Health Plan; Disease Treatment,"• Identify the benefits and risks of exposure to sunlight.
• Develop a personal health plan to boost your immune system.
• Distinguish between autoimmune disorders and immunodeficiency disorders.",None,N/A,"1. Identify a disease caused by each of the following bacteria, virus, fungus, and protist.
2. Identify what treatments would be effective against the four diseases previously identified and explain why those treatments are effective against those types of diseases.
3. Distinguish between autoimmunity and immunodeficiency and explain what current research is being done in both areas.
4. Identify two lifestyle changes people could make to improve their immune health and cite two sources that support your choice.",,,
Reactions,1,Elements,"• Identify the properties and characteristics of elements, compounds, and mixtures.
• Be introduced to the periodic table.
• Classify different mixtures as solutions and nonsolutions.","Food coloring, six 250-mL beakers, rubbing alcohol, milk, sugar, salt, canola oil, sand, bottle of water, iced tea spoon, measuring spoons, masking tape, paper towels, marker, lab coats, safety goggles, rubber safety gloves, Mixtures worksheet",N/A,N/A,,,
Reactions,2,Chemical Reactions,"• Identify four types of chemical reactions.
• Perform a representative activity for each of the four chemical reactions.
• Classify the type of reaction that is performed.","Cut-resistant glove, cutting board, paring knife, apple, microwell test plate, calcium chloride solution, potassium carbonate solution",N/A,"1. List the four types of chemical reactions.
2. Describe what happens during a chemical reaction.
3. Explain the Tyndall effect in relation to solutions and nonsolutions.
4. Explain the difference between a solution and a nonsolution and give an example of each.",,,
Reactions,3,Chemical Reactions,"• Learn how chemical symbols, formulas, and balanced equations are used to describe chemical reactions.
• Identify the reactants and products in a chemical reaction.
• Practice balancing chemical equations.
• Separate the elements in water using the process of electrolysis.","Electrolysis unit, power source, red and black insulated test leads with alligator clips, 1,000 mL beaker, dish towel, bottle labeled Sodium Phosphate Solution",N/A,N/A,,,
Reactions,4,Binary Ionic Compounds,"• Explore how binary ionic compounds behave in water solution.
• Predict the solubility of given products when two binary compounds react.
• Test your predictions by performing the reactions.","Microwell test plate, sodium phosphate solution, calcium chloride solution, Magnesium sulfate solution, Precipitation worksheet, Reactions student module notebook",N/A,"1. Identify the reactant(s) and product(s) in the electrolysis reaction.
2. Explain why the process of electrolysis is both a gas-forming and an oxidation-reduction reaction.
3. Explain why a precipitation reaction occurs.
4. Explain how you predicted the solubility of products in a precipitation reaction.",,,
Reactions,5,Four Factors of a Chemical Reaction,"• Learn the four factors that affect the rate of a chemical reaction.
• Investigate the effect of temperature on the rate of a chemical reaction.","Safety goggles, plastic gloves, oven mitt, lab coats, stopwatch, digital balance, aluminum weighing dish, sheet of white paper, potassium iodate solution, starch solution, sodium thiosulfate crystals, plastic tub with ice, bottle of water, fast release pipette pump, three 10mL pipettes, 5 labeled 50 mL bottle, 1000 ml beaker, paper towels, Reaction Rate worksheet",N/A,N/A,,,
Reactions,6,Endothermic and Exothermic Processes,"• Identify the differences between exothermic and endothermic processes.
• Perform examples of both types of processes.
• Measure the temperature change during both processes.","Digital scale, digital thermometer, two 250 mL beakers, glass stirring rod, bottle of water, bottle of vinegar, calcium chlorine powder, box of baking soda, two aluminum weighing dishes, paper towel, safety goggles, rubber gloves, lab coats, stopwatch, Exothermic and Endothermic Reactions worksheet",N/A,N/A,,,
Reactions,7,Combustion Reaction,"• Explore the combustion reaction.
• Examine the conditions necessary to create and maintain combustion.
• Determine how to alter the conditions of combustion to extinguish or enhance a fire.","Candle, string, scissors, paper towels, lab coat, bottle of water, custard dish, goggles, leather gloves, cookie sheet",N/A,"1. List the three components required for a combustion reaction to occur.
2. Explain how water extinguishes a flame.
3. Explain the difference between complete and incomplete combustion and give an example of each.
4. Describe the reactants and products in the combustion reaction that generates a forest fire.",,,
Food Science,1,The History of Food Science/ Basic Equipment,"• Compose a complete lab report detailing the experiment.
• Successfully perform an experiment using tools commonly found in a food science laboratory.
• Use an electronic balance to measure the mass of three items. Keep detailed notes while measuring the items.
• Compose a detailed lab report based on the notes taken during the activity.","Electronic balance, waxed paper - 23 in, salt - 5 mL, baking soda – 5 mL, metric measuring spoons, metal spatula, filled water bottle, 100-milliliter beaker, disposable gloves (2 pair)",Fill the water bottles before the start of the session. Ensure that the students have access to a water source throughout the session.,N/A,,,
Food Science,2,Six Essential Nutrients,"• Investigate the six essential nutrients.
• Conduct an experiment using equipment commonly found in a food science laboratory.
• Write a report summarizing the food science experiment performed in class.","Digital scale, disposable gloves - 2 pair, waxed paper - 23 in, 2 small glass bowls, egg – 1, sugar - 5 mL, lard (Shortening/Crisco)- 5 mL, metric measuring spoons, 1 disposable aluminum dish, metal spatula",Ensure the printer is ready for students to print their lab reports.,N/A,,,
Food Science,3,Essential Nutrients/Egg Foam Experiment,"• Investigate conservation of mass.
• Begin a report documenting the food science experiment.
• Begin a food science experiment documenting how sugar affects proteins.","Digital scale, disposable gloves, waxed paper - 23 in, 1 large mixing bowl, 2 small glass bowls, egg – 1, sugar - 25 g, hand mixer, metric measuring spoons, 100-milliliter beaker, 1 disposable aluminum dish, plastic spatula",N/A,"1. Identify the six essential nutrients and give examples of foods that represent each nutrient.
2. Describe three major occurrences in history that led to significant improvements in the preservation of food.
3. Demonstrate the ability to keep detailed observations, calculations, and data using a laboratory report.
4. Explain the concept of the law of conservation of mass.",,,
Food Science,4,Egg Foam Experiment,"• Complete the egg foam experiment that was begun in Session 3.
• Complete the laboratory report for this experiment.","Digital scale, disposable gloves, waxed paper - 23 in, 1 large mixing bowl, 2 small glass bowls, egg – 1, sugar - 25 g, hand mixer, metric measuring spoons, 100-milliliter beaker, 1 disposable aluminum dish, plastic spatula",N/A,N/A,,,
Food Science,5,Odor Recognition,"• Explore the field of sensory recognition.
• Identify qualities that make up the sensory characteristics of food.
• Examine occupations related to sensory evaluations.
• The students will identify food items by odor.
• The students will complete a laboratory report about the odor recognition experiment.","Test tube rack, test tubes with spices",Ensure the COLOR printer is ready.,"1. Describe the sensory characteristics of food.
2. Explain the key biological steps that take place in the process of identifying an odor.
3. List the four types of taste buds, their location on the tongue, and different foods that will cause a reaction from each location.
4. Create a complete, detailed, and organized lab report about the experiment you just completed.",,,
Food Science,6,pH of Common Foods,"• Learn about matter and some of its properties.
• Identify properties that distinguish acids and bases.
• Use a pH meter to measure the pH level of common foods.
• Complete a laboratory report detailing today's experiment.
• Students will use an online program to identify the pH of four different foods.","4 100-milliliter beakers, vinegar - 40 mL, baking soda- 5 mL, carbonated soda, baking soda - 5 mL, metric measuring spoons, waxed paper - 18 in., teaspoon, pH meter, water",Fill the squeeze water bottles prior to the beginning of the lesson. Ensure the printer is functioning for the students to print their lab reports at the end of the lesson.,"1. Define acidic and give examples of acidic foods.
2. Define basic and give examples of basic foods.
3. Describe how acidic and basic foods taste.
4. Create a complete, detailed, and organized laboratory report.",,,
Food Science,7,Chemical Neutralization,"• Create a chemical reaction.
• Explore characteristics of chemical reactions.
• Students will measure the pH and temperature of 2 common foods and enter them on the computer.
• Students will then combine the 2 common foods and record the pH and temperature of the combined mixture and observe any differences in pH and temperature.","2 100-milliliter beakers, pH meter, vinegar - 40 mL, metric measuring spoons, baking soda - 5 mL, teaspoon, water, digital thermometer, waxed paper - 18 in",Ensure the students have access to water for this session. Fill the squeeze bottle with water prior to the beginning of the lesson. Ensure that the printer is ready to print the students' lab reports.,N/A,,,
Climate & Biomes,1,Climate Control,"• Learn the difference between climate and weather.
• Explore some important factors controlling climate.
• Demonstrate the process of convection.","Globe, perforated cord, flashlight, 16 oz. clear plastic jar, 250 mL beaker, sea salt, food coloring, watering pipette, dish towel, piece of white paper",N/A,N/A,,,
Climate & Biomes,2,Biomes,"• Identify and characterize Earth's major biomes.
• Correlate biomes with major climatic zones.
• Locate biomes on the globe.
• Learn to read climographs.","Globe, Characteristics of Biomes worksheet",N/A,N/A,,,
Climate & Biomes,3,Ancient Climates,"• Define dendrochronology.
• Do a tree ring analysis.
• Learn several methods used to analyze ancient climates.","Tree ring sample, caliper, hand lens, Tree Ring Analysis worksheet",N/A,"1. Show that you can use the dial caliper to accurately measure the diameter of a tree ring representing one year's growth.
2. Explain how you determined the values in the Year column of the Tree Ring Analysis worksheet.
3. Show the tree ring on your sample that represents the year of highest rainfall and explain how you determined this. What kind of tree ring pattern would you expect to see if the climate was stable for a long period of time?
4. Explain how tree rings can be used to learn about ancient climates for which no weather data are available.",,,
Climate & Biomes,4,The Greenhouse Effect,"• Investigate the cause and results of the greenhouse effect.
• Learn the major types of greenhouse gases.
• Define albedo.
• Do an experiment to determine the effects of different types of surfaces on albedo.","Four 500 mL beakers, four thermometers, container of sand, digital timer, white construction paper, black construction paper, scissors, masking tape, kitchen towel, Radiation and Surfaces worksheet, heat lamp, tap water",N/A,N/A,,,
Climate & Biomes,5,Global Warming,"• Discover causes of long-term climatic cycles.
• Define global warming and scientific theory.
• Learn about types of evidence.
• Investigate the relationship between temperature and carbon dioxide.","Three-liter pitcher, four 500 mL beakers, four thermometers, digital timer, rubber bands, transparent cling wrap, drinking straw, washable marker, kitchen towel, Greenhouse Effect and Global Warming worksheet, heat lamp",N/A,"1. Explain how the covered and uncovered beakers serve as a test for the greenhouse effect. How is the process occurring in the covered beaker similar to and different from the process occurring in the atmosphere?
2. Complete your Greenhouse Effect and Global Warming worksheet to the teacher's satisfaction. If you did not get the expected results, explain why this might have occurred.
3. Explain how atmospheric carbon dioxide affects global temperature. How is this effect illustrated in your experiment?
4. Distinguish between correlational evidence and experimental evidence. Which type of evidence did you obtain during today's activity?",,,
Climate & Biomes,6,Climate Models and Data,"• Learn how and why scientists develop models of complex processes.
• Observe and manipulate a simple climatic model.
• Review recent climatic data.",N/A,N/A,N/A,,,
Climate & Biomes,7,Soil Organisms,"• See how the FACE experiments are used to study effects of climate change.
• Research effects of climate change on regions and biomes.
• Practice judging types and quality of information.
• Learn about the global warming controversy.
• Write an informed opinion on the global warming controversy.","Decomposer Food Web worksheet, Topsoil Animals worksheet","• This session deals with the biological properties of soil and shows their relationship to soil's physical and chemical properties. The information needed to properly complete the Topsoil Animals worksheet is found in the videos.
• Students should have time to watch the videos and fill out the Topsoil Animals worksheet; however, they may need to complete their Decomposer Food Web worksheet as homework. They can do this using the information on the Topsoil Animals worksheet.","1. Based on what you learned in Session 6, explain what kinds of data go into a climate model and how the model can be used to predict future climates.
2. What is the purpose of the FACE experiments occurring at the Desert Research Institute and various other locations around the world? Which of the four types of evidence are they collecting?
3. Provide one example of a biased source and one example of an unbiased source relating to global warming. Explain the difference.
4. Show and justify the informed opinion you have written on the global warming controversy.",,,
Eco-Architecture,1,Construction,"• Explore some of the history of home construction.
• Define terms related to environmental construction.
• Evaluate building materials based on a Six-Question Sustainability Test.",Student Module Notebook,N/A,N/A,,,
Eco-Architecture,2,Reclaimed Construction,"• Learn how reclaimed building materials are used in construction.
• Learn what it means to retrofit existing construction.","Eco-Architecture Student Module Notebook, United States map",N/A,N/A,,,
